"replication","spearman_corr","top10_overlap"
343,0.999081916931816,1
344,0.997431396518618,0.9
345,0.98609561591306,0.9
346,0.990053625449163,0.9
347,0.974375550440459,0.9
348,0.992927129336866,0.9
349,0.997732025115392,0.9
350,0.998665059516987,1
351,0.968276296369603,0.9
352,0.992683814184828,0.9
353,0.989695861399715,0.9
354,0.843267129778286,0.5
355,0.95895930175849,0.8
356,0.979483388712598,0.9
357,0.97622310806895,0.9
358,0.995028681641258,0.9
359,0.992272474523996,0.9
360,0.985945568602769,0.9
361,0.998885947668909,1
362,0.999085476773104,1
363,0.984022186354844,0.9
364,0.999833755411849,1
365,0.998681078802783,0.9
366,0.989650473423293,0.9
367,0.983368955478489,0.9
368,0.958137512397147,0.8
369,0.992790075447276,0.9
370,0.998113106125276,0.9
371,0.972737845455898,0.9
372,0.992308606913069,0.9
373,0.93345375089797,0.8
374,0.977788192291235,0.9
375,0.969611770828809,0.9
376,0.998384722015554,0.9
377,0.985505216235439,0.9
378,0.996881223047552,0.9
379,0.878322132886027,0.6
380,0.996391032902189,0.9
381,0.939163914316044,0.8
382,0.999042758677647,0.9
383,0.986208106897762,0.9
384,0.985841443245094,0.9
385,0.869104991823044,0.6
386,0.999755616895576,1
387,0.937460352267654,0.9
388,0.99251810357287,0.9
389,0.995752397375115,0.9
390,0.988797357458615,0.9
391,0.999355490734801,1
392,0.985417644139754,0.9
393,0.996737761443644,0.9
394,0.998284868467424,1
395,0.986075146825654,0.9
396,0.982605369522205,0.9
397,0.983499423661695,0.9
398,0.999367772187245,1
399,0.987811993390087,0.9
400,0.977786234378526,0.9
401,0.939443717841284,0.8
402,0.988051036732578,0.9
403,0.969758614281941,0.9
404,0.970415938975777,0.8
405,0.992031829252925,0.9
406,0.999943932499713,1
407,0.98774862821516,0.9
408,0.987529519983881,0.9
409,0.983201820930016,0.9
410,0.996752890769118,0.9
411,0.99987789744382,1
412,0.99801378655334,1
413,0.986229109961361,0.9
414,0.986768781900628,0.9
415,0.985068245717333,0.9
416,0.956242430887461,0.8
417,0.929790674212581,0.8
418,0.988426777980531,0.9
419,0.997795390290319,1
420,0.979220138449347,0.9
421,0.997406655621666,0.9
422,0.95762934505328,0.8
423,0.966208918541576,0.9
424,0.986931644639555,0.9
425,0.99243035348512,0.9
426,0.997961634878471,0.9
427,0.999326300036239,1
428,0.986709332551117,0.9
429,0.966259290295801,0.9
430,0.911193707339752,0.7
431,0.992662811121229,0.9
432,0.969881606798442,0.9
433,0.997014717095853,1
434,0.997835616496874,0.9
435,0.998663813572536,0.9
436,0.991571363782317,0.9
437,0.984569511952879,0.9
438,0.995387869627221,0.9
