"Player","Squad","League","Season","Age","cluster","role_profile","scouting_score","progression_index","padj_interceptions","padj_tackles"
"Calvin Bassey","Fulham","Premier League","2024-2025",24,"1","Standard Build-up Distributor",3.05414015753165,1.61221130743896,0.704507280643859,1.56039177601771
"Yarek Gasiorowski","Valencia","La Liga","2024-2025",19,"3","High-Intensity Ball-Winner",3.05051481643639,1.60130099072239,1.74200185507685,1.60561752094071
"Jeffrey Gouweleeuw","Augsburg","Bundesliga","2024-2025",33,"1","Standard Build-up Distributor",3.04037643018961,1.85446991536407,1.0857764717445,1.53183245894282
"Nicolás Valentini","Hellas Verona","Serie A","2024-2025",23,"3","High-Intensity Ball-Winner",3.03963068634919,1.40411331331602,1.22089544039597,2.348233842953
"Víctor Chust","Cádiz","La Liga","2023-2024",23,"1","Standard Build-up Distributor",3.03742336040032,1.58857016368676,0.827570786758726,1.64318317982986
"Willian Pacho","Paris S-G","Ligue 1","2024-2025",22,"2","Limited / Reactive Defender",3.03435375001075,0.93604386836126,1.40720812427331,1.96265866695801
"Jordan Beyer","Burnley","Premier League","2023-2024",23,"2","Limited / Reactive Defender",3.03205689676384,1.00672746327249,1.20673877029038,2.23414945460726
"Tim Oermann","Bochum","Bundesliga","2024-2025",20,"2","Limited / Reactive Defender",3.0277522370337,1.18496650624079,1.05540280461834,2.07442343378989
"Milan Škriniar","Paris S-G","Ligue 1","2023-2024",28,"1","Standard Build-up Distributor",3.02378180972352,1.34058340117703,0.765305061079019,1.28966841657893
"Carlos Dominguez","Celta Vigo","La Liga","2024-2025",23,"3","High-Intensity Ball-Winner",3.01742657401879,2.09718522781484,1.04516479618696,1.65012949612449
"Sinaly Diomande","Auxerre","Ligue 1","2024-2025",23,"2","Limited / Reactive Defender",3.01381631753092,1.3709073667612,1.34850919128846,1.77606747015049
"Marin Šverko","Venezia","Serie A","2024-2025",26,"3","High-Intensity Ball-Winner",3.01380970728193,1.37210032214033,1.36735020611388,1.76991587508525
"Eray Cömert","Nantes","Ligue 1","2023-2024",25,"2","Limited / Reactive Defender",3.01138501638336,1.11148676364939,1.46197067917755,1.77479161337849
"Moritz Jenz","Mainz 05","Bundesliga","2024-2025",25,"2","Limited / Reactive Defender",3.00170506098901,1.06637449283117,1.52851805738137,1.90399675722226
"Raphaël Varane","Manchester Utd","Premier League","2023-2024",30,"1","Standard Build-up Distributor",3.00166719622116,1.71559483084658,1.0660888433042,1.3473299402473
