Player,Squad,League,Pos,Age,Min,PrgP,PrgC,KP,Cmp%,Tkl,Int,Recov,Crs
Irvin Cardona,Saint-Étienne,Ligue 1,FW,26,1063,32,30,15,66.9,6,4,26,31
Ivan Ordets,Bochum,Bundesliga,DF,32,1861,48,2,7,80,18,41,77,0
Jakub Kamiński,Wolfsburg,Bundesliga,"DF,MF",22,1130,40,41,24,70.4,17,13,52,50
Jens Stage,Werder Bremen,Bundesliga,MF,27,2204,104,28,23,77,49,18,114,23
Jonas Omlin,Gladbach,Bundesliga,GK,30,978,0,0,0,73.1,0,0,21,0
Jordan Pefok,Union Berlin,Bundesliga,FW,28,908,12,3,14,69.1,11,4,31,0
Josip Juranović,Union Berlin,Bundesliga,"DF,MF",28,1159,52,19,27,64.5,21,7,62,78
Karim Adeyemi,Dortmund,Bundesliga,"FW,MF",22,1433,28,68,28,74.3,20,7,48,26
Kilian Fischer,Wolfsburg,Bundesliga,DF,23,2297,110,51,12,78.6,64,19,84,39
Ko Itakura,Gladbach,Bundesliga,DF,27,2790,69,23,7,89,40,28,95,9
Luca Pellegrini,Lazio,Serie A,DF,25,1067,72,21,20,75.5,23,19,41,89
Ludovic Ajorque,Brest,Ligue 1,FW,30,2495,41,10,35,68.9,26,6,62,7
Mathys Tel,Tottenham,Premier League,FW,19,911,21,28,14,69.5,16,2,38,35
Matthijs De Ligt,Manchester Utd,Premier League,DF,24,2123,55,7,6,89.9,30,33,68,6
Mattias Svanberg,Wolfsburg,Bundesliga,MF,25,1219,36,11,13,68.7,20,15,48,35
Merlin Röhl,Freiburg,Bundesliga,"MF,FW",22,965,22,20,9,76,16,6,49,12
Moritz Broschinski,Bochum,Bundesliga,"FW,MF",23,1390,20,37,13,63.4,19,1,64,28
Moritz Jenz,Mainz 05,Bundesliga,DF,25,1600,47,1,3,84.3,36,30,73,0
Morten Thorsby,Genoa,Serie A,"MF,FW",28,1898,58,24,27,66.6,49,5,51,9
Nicolas Cozza,Nantes,Ligue 1,"DF,MF",25,2051,64,25,7,77.7,59,25,62,27
Noussair Mazraoui,Manchester Utd,Premier League,DF,26,2838,115,42,20,85.7,115,34,149,23
Philipp Hofmann,Bochum,Bundesliga,FW,31,2277,53,8,26,63.5,17,4,52,10
Randal Kolo Muani,Juventus,Serie A,FW,25,1160,20,21,17,69.9,11,4,33,8
Renato Veiga,Juventus,Serie A,DF,21,1093,40,9,2,88,17,19,38,0
Ryan Gravenberch,Liverpool,Premier League,MF,22,3160,181,70,26,89.2,69,60,193,7
Sepp Van Den Berg,Brentford,Premier League,DF,22,2586,79,12,6,85.4,39,21,97,7
Stanley N'Soki,Hoffenheim,Bundesliga,DF,25,1308,52,10,7,85.8,22,26,79,1
Tim Oermann,Bochum,Bundesliga,DF,20,2213,61,15,7,82.4,50,22,99,14
Tim Skarke,Union Berlin,Bundesliga,"FW,MF",27,1164,25,26,16,70,14,5,56,29
Adrian Beck,Heidenheim,Bundesliga,"MF,FW",27,1598,69,37,21,80.1,36,9,131,32
Amin Sarr,Hellas Verona,Serie A,FW,23,1907,41,31,22,70,22,3,42,7
Anthony Rouault,Rennes,Ligue 1,DF,23,972,36,3,1,91.6,12,8,48,0
Anthony Rouault,Stuttgart,Bundesliga,DF,23,1212,52,6,6,90,15,19,63,1
Benedict Hollerbach,Union Berlin,Bundesliga,"FW,MF",23,2540,68,103,26,65.4,43,2,111,73
Benedikt Gimber,Heidenheim,Bundesliga,DF,27,2671,46,7,3,82.5,72,31,98,3
Benjamin Šeško,RB Leipzig,Bundesliga,"FW,MF",21,2380,46,47,19,67.6,7,5,62,7
Borja Iglesias,Celta Vigo,La Liga,FW,31,1952,28,22,18,70.8,10,7,46,6
Bryan Zaragoza,Osasuna,La Liga,"FW,MF",22,1836,50,105,36,64.6,13,4,55,104
Castello Lukeba,RB Leipzig,Bundesliga,DF,21,1577,80,18,4,85.1,31,17,74,11
Cedric Zesiger,Augsburg,Bundesliga,DF,26,1221,40,4,7,78.6,13,21,57,13
Deniz Undav,Stuttgart,Bundesliga,"FW,MF",28,1726,70,31,26,73.2,11,3,48,11
Donny Van De Beek,Girona,La Liga,MF,27,1421,45,17,18,81.7,29,10,48,11
El Chadaille Bitshiabu,RB Leipzig,Bundesliga,DF,19,1130,69,4,5,84.4,27,13,55,4
Elif Elmas,Torino,Serie A,"FW,MF",24,1021,34,42,9,80.4,10,6,33,23
Eric Dier,Bayern Munich,Bundesliga,DF,30,1463,73,12,3,93.8,19,20,80,2
Fares Chaïbi,Eint Frankfurt,Bundesliga,"MF,FW",21,1013,52,20,24,65.8,13,10,30,72
Franck Honorat,Gladbach,Bundesliga,FW,27,1439,45,63,50,67.5,17,5,72,125
Frans Krätzig,Heidenheim,Bundesliga,"DF,MF",21,1217,37,25,28,75.9,32,17,60,38
Harry Kane,Bayern Munich,Bundesliga,FW,31,2381,97,29,35,78.9,13,2,61,13
Hugo Ekitike,Eint Frankfurt,Bundesliga,FW,22,2563,53,93,44,75.5,16,7,87,17
Hugo Larsson,Eint Frankfurt,Bundesliga,MF,20,2393,121,16,21,86.9,47,30,121,8
Ian Maatsen,Aston Villa,Premier League,DF,22,1139,50,31,19,81.5,29,15,67,51
Jan Schöppner,Heidenheim,Bundesliga,MF,25,2681,107,35,25,74.7,56,43,130,12
Jean Mattéo Bahoya,Eint Frankfurt,Bundesliga,"MF,FW",19,921,28,24,18,74.3,29,4,51,31
Joakim Mæhle,Wolfsburg,Bundesliga,DF,27,2188,88,59,20,80.9,34,25,122,25
Junior Adamu,Freiburg,Bundesliga,FW,23,1545,14,8,17,63.5,9,12,52,5
Kevin Müller,Heidenheim,Bundesliga,GK,33,2939,1,0,0,75.6,3,0,50,0
Kim Min-Jae,Bayern Munich,Bundesliga,DF,27,2283,181,16,6,92.5,35,37,153,0
Loïs Openda,RB Leipzig,Bundesliga,"FW,MF",24,2453,47,58,28,63.8,9,5,54,27
Lukas Ullrich,Gladbach,Bundesliga,DF,20,1903,39,31,8,76.1,25,23,73,47
Marvin Pieringer,Heidenheim,Bundesliga,"FW,MF",24,2206,59,23,30,65.8,23,8,63,11
Mathias Honsak,Heidenheim,Bundesliga,"FW,DF",27,1181,29,37,14,70.1,15,10,55,50
Matúš Bero,Bochum,Bundesliga,MF,28,2565,143,29,54,67.9,65,17,164,124
Max Rosenfelder,Freiburg,Bundesliga,DF,21,1249,29,24,5,85.3,27,7,60,9
Maximilian Wittek,Bochum,Bundesliga,DF,28,2706,141,47,46,70.6,65,27,115,164
Nathan Tella,Leverkusen,Bundesliga,"MF,FW",25,1359,22,38,18,74.6,16,4,37,25
Nicolas Seiwald,RB Leipzig,Bundesliga,"MF,DF",23,2084,140,17,20,82.7,53,31,125,46
Nnamdi Collins,Eint Frankfurt,Bundesliga,DF,20,1489,63,30,2,86.3,33,16,78,17
Omar Traoré,Heidenheim,Bundesliga,DF,26,2616,117,103,20,70.7,50,21,136,107
Patrick Mainka,Heidenheim,Bundesliga,DF,29,3060,102,21,7,85.4,58,68,152,4
Phillip Tietz,Augsburg,Bundesliga,FW,27,1686,29,8,22,62.4,11,5,48,1
Robin Gosens,Fiorentina,Serie A,DF,30,2521,102,31,27,76.5,56,18,69,64
Senne Lynen,Werder Bremen,Bundesliga,MF,25,2733,91,9,8,82.9,72,65,191,5
Victor Boniface,Leverkusen,Bundesliga,FW,23,1008,23,26,10,70.2,5,0,28,6
Willian Pacho,Paris S-G,Ligue 1,DF,22,2132,53,3,3,94.8,56,40,119,0
Xavi Simons,RB Leipzig,Bundesliga,MF,21,2150,140,85,51,78.6,28,12,128,79
Álex Grimaldo,Leverkusen,Bundesliga,DF,28,2636,160,86,73,81.2,24,16,142,217
Aleix García,Leverkusen,Bundesliga,MF,27,1455,120,27,32,87.2,13,11,69,92
Alexander Bernhardsson,Holstein Kiel,Bundesliga,"FW,MF",25,1263,33,25,17,60.5,29,5,45,34
Alexander Prass,Hoffenheim,Bundesliga,DF,23,1566,63,28,18,72.7,42,9,92,54
Alexis Claude-Maurice,Augsburg,Bundesliga,"MF,FW",26,2109,61,59,21,82.9,41,15,72,21
Andrej Ilic,Union Berlin,Bundesliga,FW,24,937,13,5,6,57.6,2,5,16,3
Antonio Nusa,RB Leipzig,Bundesliga,"MF,DF",19,1558,52,57,20,74.2,30,8,78,35
Armin Gigovic,Holstein Kiel,Bundesliga,MF,22,1895,50,37,16,77.7,25,21,117,14
Arnaud Nordin,Montpellier,Ligue 1,FW,26,1166,23,51,15,69.9,24,5,47,35
Arthur Chaves,Hoffenheim,Bundesliga,DF,23,2185,57,10,5,82.1,51,37,93,8
Arthur Theate,Eint Frankfurt,Bundesliga,DF,24,2704,171,50,13,82.6,36,39,123,26
Arthur Vermeeren,RB Leipzig,Bundesliga,MF,19,1572,77,14,12,86.1,32,23,94,3
Bence Dárdai,Wolfsburg,Bundesliga,MF,18,1304,39,5,11,80.2,24,12,52,10
Budu Zivzivadze,Heidenheim,Bundesliga,FW,30,958,20,11,12,69.3,17,3,33,4
Chrislain Matsima,Augsburg,Bundesliga,DF,22,2551,84,14,5,86,31,52,143,3
Danel Sinani,St Pauli,Bundesliga,"FW,MF",27,1250,60,16,24,71.4,14,1,52,67
Dani De Wit,Bochum,Bundesliga,"MF,FW",26,1153,33,5,10,72,29,12,36,8
David Zec,Holstein Kiel,Bundesliga,DF,24,1541,34,3,8,87.7,23,17,76,1
Denis Vavro,Wolfsburg,Bundesliga,DF,28,2461,96,9,7,86.9,21,37,89,8
Derrick Köhn,Werder Bremen,Bundesliga,"DF,FW",25,1343,39,36,16,79.3,20,10,57,58
Dimitris Giannoulis,Augsburg,Bundesliga,DF,28,2650,104,60,42,74.7,47,47,136,120
Elias Saad,St Pauli,Bundesliga,"FW,MF",24,900,27,29,14,76.2,20,3,43,14
Eric Smith,St Pauli,Bundesliga,"DF,MF",27,2827,118,16,28,80.8,46,37,139,102
Frank Onyeka,Augsburg,Bundesliga,MF,26,2586,106,46,17,83.6,58,36,147,20
Giorgos Masouras,Bochum,Bundesliga,"FW,MF",30,1055,19,26,10,70.4,18,4,44,26
Ibrahima Sissoko,Bochum,Bundesliga,MF,26,2610,105,35,27,75,66,36,154,21
Jackson Irvine,St Pauli,Bundesliga,MF,31,2610,117,19,32,70.6,56,36,125,18
Jakov Medić,Bochum,Bundesliga,DF,25,1603,27,2,3,87.4,13,22,73,1
Kaishu Sano,Mainz 05,Bundesliga,MF,23,3043,159,53,19,80.1,61,65,190,11
Kamil Grabara,Wolfsburg,Bundesliga,GK,25,2585,2,0,2,69.4,0,0,43,0
Karol Mets,St Pauli,Bundesliga,DF,31,900,54,5,3,83.4,13,12,35,3
Konstantinos Koulierakis,Wolfsburg,Bundesliga,DF,20,2468,104,20,10,83,40,33,93,13
Lars Ritzka,St Pauli,Bundesliga,"DF,MF",26,922,21,8,5,71.5,49,11,35,19
Lasse Rosenboom,Holstein Kiel,Bundesliga,DF,22,1734,34,19,14,65.1,47,19,57,18
Leo Skiri Østigård,Hoffenheim,Bundesliga,DF,24,927,51,0,3,83.9,9,9,44,2
Leo Skiri Østigård,Rennes,Ligue 1,DF,24,1227,50,3,2,84.8,20,15,51,0
Leopold Querfeld,Union Berlin,Bundesliga,DF,20,1747,49,3,10,80.8,25,19,66,0
Lutsharel Geertruida,RB Leipzig,Bundesliga,DF,24,1557,93,21,10,86.7,35,16,83,13
Léo Scienza,Heidenheim,Bundesliga,"FW,MF",25,1153,30,70,34,66.3,17,5,53,81
Mads Roerslev,Brentford,Premier League,DF,25,1101,51,17,14,78.7,18,4,39,31
Magnus Knudsen,Holstein Kiel,Bundesliga,MF,23,1850,54,16,8,84,48,12,79,8
Manolis Saliakas,St Pauli,Bundesliga,"MF,DF",27,2314,93,28,26,71.8,46,20,84,82
Marco Grüll,Werder Bremen,Bundesliga,"FW,MF",26,1181,38,24,11,76.8,12,3,43,21
Marco Komenda,Holstein Kiel,Bundesliga,DF,27,1307,53,13,9,78.8,26,6,37,16
Marko Ivezić,Holstein Kiel,Bundesliga,DF,22,1657,40,3,4,86,29,27,71,1
Michael Olise,Bayern Munich,Bundesliga,"FW,MF",22,2334,184,119,90,81.4,36,8,105,131
Mohamed Amoura,Wolfsburg,Bundesliga,FW,24,2467,61,81,35,70.3,29,9,92,35
Morgan Guilavogui,St Pauli,Bundesliga,"FW,MF",26,1807,41,42,27,65.9,32,13,71,13
Myron Boadu,Bochum,Bundesliga,FW,23,1042,18,12,11,71.3,2,1,20,3
Nathaniel Brown,Eint Frankfurt,Bundesliga,"DF,MF",21,1947,63,45,39,80.7,71,15,81,92
Nediljko Labrović,Augsburg,Bundesliga,GK,24,1350,0,0,0,70.2,0,0,14,0
Nicolai Remberg,Holstein Kiel,Bundesliga,MF,24,2417,80,25,9,77.9,45,29,101,8
Nikola Vasilj,St Pauli,Bundesliga,GK,28,2969,0,0,1,73.6,0,0,54,0
Oladapo Afolayan,St Pauli,Bundesliga,"FW,MF",26,1639,32,53,21,69.4,17,8,72,53
Phil Harres,Holstein Kiel,Bundesliga,FW,22,1544,16,12,10,56.6,10,5,40,6
Philipp Sander,Gladbach,Bundesliga,MF,26,1400,60,16,13,80.9,33,23,82,22
Philipp Treu,St Pauli,Bundesliga,"MF,DF",23,2881,105,58,22,80,61,19,147,60
Ramon Hendriks,Stuttgart,Bundesliga,DF,23,1154,36,8,6,83.7,20,19,40,12
Rasmus Kristensen,Eint Frankfurt,Bundesliga,DF,27,2513,172,51,20,77.7,59,20,121,59
Samuel Essende,Augsburg,Bundesliga,FW,26,1636,21,33,11,64.8,7,0,42,5
Shuto Machino,Holstein Kiel,Bundesliga,"FW,MF",24,1953,59,30,27,64.2,8,7,50,35
Timon Weiner,Holstein Kiel,Bundesliga,GK,25,2250,0,0,0,68.8,0,0,43,0
Valentin Gendrey,Hoffenheim,Bundesliga,DF,24,1414,49,24,16,69.9,30,15,52,51
Raúl Albiol,Villarreal,La Liga,DF,38,1188,34,3,0,89.4,10,6,44,0
Pedro,Lazio,Serie A,"FW,MF",37,1102,76,48,22,79.8,19,3,59,65
Daniel Parejo,Villarreal,La Liga,MF,35,2273,176,19,23,87.5,52,24,142,37
Vicente Guaita,Celta Vigo,La Liga,GK,37,3060,1,0,0,82.1,0,0,75,0
David De Gea,Fiorentina,Serie A,GK,33,3150,0,0,3,73.2,1,0,26,0
Koke,Atlético Madrid,La Liga,MF,32,1926,132,22,16,88,46,20,122,22
Leandro Cabrera,Espanyol,La Liga,DF,33,2869,69,9,9,75.2,40,30,83,17
Marcos Alonso,Celta Vigo,La Liga,DF,33,2647,215,64,21,89.2,35,34,176,42
Yuri Berchiche,Athletic Club,La Liga,DF,34,2044,161,43,18,84,33,27,121,42
Óscar De Marcos,Athletic Club,La Liga,DF,35,1564,102,26,19,79.2,32,16,89,55
Antoine Griezmann,Atlético Madrid,La Liga,"FW,MF",33,2469,143,46,48,74.8,30,6,93,138
Cristhian Stuani,Girona,La Liga,FW,37,1078,10,2,6,69.5,9,7,14,2
David López,Girona,La Liga,DF,34,2429,132,17,4,92.1,32,14,95,3
Isco,Betis,La Liga,MF,32,1547,152,38,61,81.6,20,11,71,92
Kiko Femenía,Villarreal,La Liga,DF,33,2227,112,52,16,88.9,50,40,102,47
Álvaro Morata,Milan,Serie A,"FW,MF",31,1099,26,18,7,75.4,16,5,31,13
Alberto Moreno,Como,Serie A,DF,32,1727,81,23,19,82.5,25,14,74,49
Florian Lejeune,Rayo Vallecano,La Liga,DF,33,3325,143,21,14,83.8,46,41,156,8
Iñigo Martínez,Barcelona,La Liga,DF,33,2490,260,70,16,91,25,18,126,8
Pablo Marí,Fiorentina,Serie A,DF,30,1098,27,2,0,91.3,14,25,39,0
Pablo Marí,Monza,Serie A,DF,30,1628,58,5,3,89.7,26,37,59,1
Thibaut Courtois,Real Madrid,La Liga,GK,32,2700,0,0,1,83.1,0,1,45,0
Adrián,Betis,La Liga,GK,37,1710,0,0,0,76.6,0,0,20,0
Casemiro,Manchester Utd,Premier League,MF,32,1494,84,4,22,78.8,83,14,103,20
Diego Llorente,Betis,La Liga,DF,30,2519,81,7,6,86.7,36,43,93,1
Geoffrey Kondogbia,Marseille,Ligue 1,"DF,MF",31,2020,105,20,5,92.5,60,22,108,4
Iago Aspas,Celta Vigo,La Liga,"FW,MF",36,1745,132,50,38,75.4,13,8,55,15
Iñigo Ruiz De Galarreta,Athletic Club,La Liga,MF,30,1477,137,27,28,80.9,36,16,120,29
Luka Modrić,Real Madrid,La Liga,MF,38,1827,208,62,66,87.6,31,27,105,112
Rubén García,Osasuna,La Liga,"FW,MF",31,2413,112,37,49,74.3,52,15,122,136
Saúl Ñíguez,Sevilla,La Liga,MF,29,1553,66,13,22,78.3,47,22,86,19
Adama Traoré,Fulham,Premier League,"FW,MF",28,1772,68,100,42,72.2,20,1,87,100
Adri Embarba,Rayo Vallecano,La Liga,"FW,MF",32,1607,45,47,20,63.9,41,13,67,114
Dani Ceballos,Real Madrid,La Liga,MF,27,1215,150,42,22,94.3,41,14,87,14
Dimitri Foulquier,Valencia,La Liga,DF,31,2299,97,48,10,78.9,48,16,97,57
Johan Mojica,Mallorca,La Liga,DF,31,2755,130,66,40,74.2,35,26,181,143
José Luis Gayà,Valencia,La Liga,DF,29,1803,59,29,24,77.8,57,25,93,84
José María Giménez,Atlético Madrid,La Liga,DF,29,1999,64,3,2,91.8,26,27,78,0
Sergi Darder,Mallorca,La Liga,"MF,FW",30,2744,142,37,54,75.3,40,16,122,163
Álvaro García,Rayo Vallecano,La Liga,"FW,MF",31,2559,71,68,50,64.6,33,32,94,109
André Gomes,Lille,Ligue 1,MF,31,1276,101,18,10,89.4,27,6,92,11
Aritz Elustondo,Real Sociedad,La Liga,DF,30,1457,51,17,4,85.4,20,11,53,4
David Soria,Getafe,La Liga,GK,31,3420,1,0,0,49.9,4,1,28,0
Gerónimo Rulli,Marseille,Ligue 1,GK,32,3060,1,0,2,87.9,4,1,37,0
Iván Sánchez,Valladolid,La Liga,"MF,FW",31,1404,77,60,24,71.4,37,14,59,114
Iñaki Williams,Athletic Club,La Liga,FW,30,2652,76,107,43,63.3,17,12,87,115
Jan Oblak,Atlético Madrid,La Liga,GK,31,3240,0,0,0,80.5,0,0,29,0
Javier Muñoz,Las Palmas,La Liga,"MF,DF",29,2588,108,36,29,77.9,45,31,112,51
Joan Jordán,Alavés,La Liga,MF,30,1414,104,7,31,74.9,32,9,61,106
Lucas Vázquez,Real Madrid,La Liga,DF,33,2189,99,37,33,87.1,58,17,83,63
Mario Pašalić,Atalanta,Serie A,MF,29,1967,149,44,32,87.3,26,12,112,11
Martin Ødegaard,Arsenal,Premier League,MF,25,2325,258,92,63,82.5,19,6,97,86
Raúl Jiménez,Fulham,Premier League,FW,33,2494,62,35,24,71.2,35,10,80,23
Rodrigo De Paul,Atlético Madrid,La Liga,MF,30,2106,231,85,42,81.7,33,6,128,59
Sandro Ramírez,Las Palmas,La Liga,"FW,MF",29,2034,52,52,28,64.2,27,16,93,122
Thomas Partey,Arsenal,Premier League,"MF,DF",31,2797,185,36,20,87.4,89,35,138,12
Unai López,Rayo Vallecano,La Liga,MF,28,1707,112,22,19,84.2,31,21,117,33
Álex Moreno,Nott'ham Forest,Premier League,"DF,MF",31,955,34,26,8,72,25,15,50,19
Álex Remiro,Real Sociedad,La Liga,GK,29,3240,1,0,1,74,1,0,64,0
Abdoulaye Doucouré,Everton,Premier League,MF,31,2564,82,42,28,80.3,48,10,150,23
Alphonse Areola,West Ham,Premier League,GK,31,2260,1,0,0,69.6,2,0,29,0
Antonio Raillo,Mallorca,La Liga,DF,32,3207,108,31,13,88.7,31,29,104,3
Antonio Sanabria,Torino,Serie A,FW,28,1318,18,6,9,78.4,3,1,24,0
Carlos Soler,West Ham,Premier League,"MF,FW",27,1409,56,17,18,85.2,16,8,64,34
Cristiano Biraghi,Torino,Serie A,DF,31,1158,36,24,25,71.5,16,8,39,107
Fabián Ruiz Peña,Paris S-G,Ligue 1,MF,28,1923,205,47,36,89.6,37,16,135,27
Igor Zubeldia,Real Sociedad,La Liga,DF,27,2269,101,22,4,86.4,34,31,86,1
Jefferson Lerma,Crystal Palace,Premier League,"MF,DF",29,2274,97,13,10,75.3,35,42,154,12
José Luis García Vayá,Valencia,La Liga,MF,25,1742,142,13,33,78.4,43,19,99,109
Mamadou Sylla,Valladolid,La Liga,"FW,MF",30,1583,22,15,14,62.8,8,3,35,9
Marcos Llorente,Atlético Madrid,La Liga,"DF,MF",29,2513,111,82,28,85.5,69,27,131,62
Mateo Kovačić,Manchester City,Premier League,MF,30,2198,164,56,33,92.6,69,24,114,0
Mathew Ryan,Lens,Ligue 1,GK,32,1260,0,0,0,74.8,1,1,11,0
Mikel Oyarzabal,Real Sociedad,La Liga,FW,27,2250,28,31,15,73.5,25,4,48,10
Pablo Fornals,Betis,La Liga,"MF,FW",28,1827,146,32,36,80,21,23,114,54
Sergio Akieme,Reims,Ligue 1,DF,26,2523,86,55,21,81,34,17,109,94
Theo Hernández,Milan,Serie A,DF,26,2696,132,93,47,83.8,36,17,129,111
Álvaro Tejero,Espanyol,La Liga,"MF,DF",28,1238,46,27,33,72.4,14,13,64,113
Andreas Pereira,Fulham,Premier League,MF,28,2013,104,29,57,69.1,24,8,100,171
Aïssa Mandi,Lille,Ligue 1,DF,32,1733,82,12,5,88.7,31,15,67,10
Caio Henrique Oliveira Silva,Monaco,Ligue 1,DF,27,1929,102,57,35,74.1,37,22,110,126
Carles Aleñá,Alavés,La Liga,"MF,FW",26,1090,58,18,19,76.1,19,2,47,31
Clément Lenglet,Atlético Madrid,La Liga,DF,29,1972,79,16,5,87.5,27,22,74,4
Dani Raba,Leganés,La Liga,"FW,MF",28,1879,69,42,47,67.1,37,14,90,90
Darko Brašanac,Leganés,La Liga,MF,32,1617,43,6,9,75.7,26,16,61,11
Diego Rico,Getafe,La Liga,DF,31,2819,136,27,36,67.6,81,34,132,148
Edu Expósito,Espanyol,La Liga,MF,27,1045,64,23,28,65.6,23,15,63,66
Jasper Cillessen,Las Palmas,La Liga,GK,35,2335,0,0,0,68.2,1,0,20,0
Jeremie Boga,Nice,Ligue 1,"MF,FW",27,1054,39,64,24,82.7,10,3,44,21
Jon Guridi,Alavés,La Liga,"MF,FW",29,2080,79,27,17,74.2,40,14,86,17
Kepa Arrizabalaga,Bournemouth,Premier League,GK,29,2790,2,0,1,73.2,1,0,56,0
Kiké,Alavés,La Liga,FW,34,2542,50,25,13,65.3,19,1,90,13
Lucas Digne,Aston Villa,Premier League,DF,31,2351,57,23,36,74.9,65,25,104,140
Mikel Vesga,Athletic Club,La Liga,MF,31,988,64,10,12,79.6,22,15,66,8
Pervis Estupiñán,Brighton,Premier League,DF,26,2402,132,59,26,83.1,65,37,147,119
Rui Silva,Betis,La Liga,GK,30,1350,0,0,2,78.6,0,0,25,0
Unai Simón,Athletic Club,La Liga,GK,27,1890,0,0,0,69.6,0,1,33,0
Yeray Álvarez,Athletic Club,La Liga,DF,29,1781,105,19,4,84.1,25,34,83,3
Álex Berenguer,Athletic Club,La Liga,"FW,MF",29,2339,78,65,46,65.8,32,10,113,178
Álex Muñoz,Las Palmas,La Liga,DF,30,1415,45,15,7,79.7,39,16,35,27
Aitor Ruibal,Betis,La Liga,"DF,FW",28,1313,50,21,20,80.9,32,14,71,32
Ander Guevara,Alavés,La Liga,MF,27,1947,112,14,12,76.6,49,14,120,5
Andoni Gorosabel,Athletic Club,La Liga,DF,27,1485,51,17,15,83.3,47,18,56,41
Antonio Sivera,Alavés,La Liga,GK,27,2810,1,0,1,53.9,2,0,21,0
Brais Méndez,Real Sociedad,La Liga,MF,27,1531,91,32,23,77.9,24,7,76,52
Daniel Vivian,Athletic Club,La Liga,DF,25,2608,185,36,10,87.1,40,47,164,8
Djené,Getafe,La Liga,"DF,MF",32,2548,74,18,9,75.6,25,21,102,32
Emiliano Martínez,Aston Villa,Premier League,GK,31,3194,4,0,2,78.7,3,0,34,0
Federico Valverde,Real Madrid,La Liga,"MF,DF",26,3032,226,66,39,89.9,50,55,174,26
Ferrán Torres,Barcelona,La Liga,"FW,MF",24,1106,35,23,19,74.2,8,4,27,17
Gonçalo Guedes,Wolves,Premier League,"MF,FW",27,995,40,41,14,74.2,16,5,36,22
Guillermo Maripán,Torino,Serie A,DF,30,2340,96,14,5,86.3,40,41,90,2
Hugo Duro,Valencia,La Liga,FW,24,2166,28,13,14,69.2,13,10,46,7
Juan Cruz,Leganés,La Liga,"FW,MF",24,2257,66,59,24,68.2,32,13,109,92
Manu Morlanes,Mallorca,La Liga,MF,25,1338,88,16,10,88.9,43,24,79,8
Marko Dmitrović,Leganés,La Liga,GK,32,2880,1,0,1,44.7,1,0,37,0
Mathías Olivera,Napoli,Serie A,DF,26,2370,126,46,25,85.4,63,28,93,22
Mauro Arambarri,Getafe,La Liga,MF,28,2661,75,17,17,73.3,48,15,137,14
Nélson Semedo,Wolves,Premier League,DF,30,2886,80,67,25,80.8,62,23,139,63
Pau Torres,Aston Villa,Premier League,DF,27,2020,97,40,3,88.9,21,10,62,3
Saša Lukić,Fulham,Premier League,MF,27,2344,98,39,26,87.3,68,28,109,62
Stanislav Lobotka,Napoli,Serie A,MF,29,2636,118,30,17,90.8,47,21,166,2
Yerry Mina,Cagliari,Serie A,DF,29,2569,76,17,4,85.9,66,37,158,1
Óscar Rodríguez Arnaiz,Leganés,La Liga,"MF,FW",26,1330,60,24,19,72.1,32,20,56,55
Abel Ruiz,Girona,La Liga,FW,24,1346,23,21,8,87.9,6,5,21,4
Adrià Pedrosa,Sevilla,La Liga,DF,26,2298,79,41,20,74.1,56,24,100,97
Aihen Muñoz,Real Sociedad,La Liga,DF,26,1098,38,26,3,71,24,14,43,35
Alex Sola,Getafe,La Liga,"MF,FW",25,1029,23,24,9,64,21,7,47,18
Ander Barrenetxea,Real Sociedad,La Liga,"MF,FW",22,1263,48,43,16,70.9,26,11,88,54
Andrei Ratiu,Rayo Vallecano,La Liga,DF,26,3065,145,122,36,81.6,71,27,169,77
Anuar,Valladolid,La Liga,"MF,FW",29,1720,30,24,7,81.4,38,18,71,22
Arthur Melo,Girona,La Liga,MF,27,941,70,24,5,92.4,25,8,49,7
Brahim Díaz,Real Madrid,La Liga,"FW,MF",24,1385,74,39,23,86.8,25,4,54,8
Bryan Gil,Girona,La Liga,"FW,MF",23,1721,74,76,21,81.8,34,10,78,78
Carles Pérez,Getafe,La Liga,"MF,FW",26,1431,20,31,17,67.3,33,6,50,42
Catena,Osasuna,La Liga,DF,29,3074,89,9,10,83.8,46,35,108,2
Cucho,Betis,La Liga,FW,25,1139,34,27,14,71.9,15,7,28,12
Emerson,Milan,Serie A,DF,25,1377,68,23,15,86.2,45,14,59,45
Fran Beltrán,Celta Vigo,La Liga,MF,25,2421,152,28,15,88.6,50,26,119,5
Giovani Lo Celso,Betis,La Liga,"MF,FW",28,1457,132,26,43,79,34,5,76,95
Gorka Guruzeta,Athletic Club,La Liga,FW,27,1840,31,8,15,72.5,16,9,61,5
Iván Martín,Girona,La Liga,MF,25,2039,131,57,22,90.2,32,11,110,21
Iñaki Peña,Barcelona,La Liga,GK,25,1396,3,0,0,89.2,0,0,65,0
Javi Galán,Atlético Madrid,La Liga,DF,29,1784,54,52,15,82.9,51,12,71,57
Javi Puado,Espanyol,La Liga,"FW,MF",26,2974,75,73,22,76.8,22,5,105,27
Javi Sánchez,Valladolid,La Liga,DF,27,2026,34,4,6,87.3,26,22,57,0
Juan Berrocal,Getafe,La Liga,DF,25,1063,25,1,1,76.1,14,15,35,0
Lee Kang-In,Paris S-G,Ligue 1,"FW,MF",23,1663,143,50,56,87.5,25,3,73,94
Manu Sánchez,Alavés,La Liga,DF,23,2634,78,47,16,72.2,83,30,105,78
