Player,Squad,League,Pos,Age,Min,PrgP,PrgC,KP,Cmp%,Tkl,Int,Recov,Crs
Alejandro Garnacho,Manchester Utd,Premier League,"MF,FW",20,2199,56,141,37,78.9,30,13,108,56
Archie Gray,Tottenham,Premier League,"DF,MF",18,1751,40,7,3,87.4,16,19,69,17
Cameron Archer,Southampton,Premier League,FW,23,1441,14,22,5,81.7,13,2,35,3
Christian Nørgaard,Brentford,Premier League,MF,30,2819,154,14,18,81.6,79,49,193,17
Cristian Romero,Tottenham,Premier League,DF,26,1416,71,12,7,89.5,35,21,90,3
David Raya,Arsenal,Premier League,GK,28,3420,14,0,1,73.6,0,2,41,0
Dejan Kulusevski,Tottenham,Premier League,"MF,FW",24,2389,124,120,65,73.7,45,13,121,89
Ethan Pinnock,Brentford,Premier League,DF,31,1913,41,3,8,85.6,35,24,50,9
José Sá,Wolves,Premier League,GK,31,2609,2,0,3,64.1,2,0,37,0
Kristoffer Ajer,Brentford,Premier League,DF,26,1438,56,27,8,78.3,26,12,42,14
Lewis Hall,Newcastle Utd,Premier League,DF,19,2189,123,41,34,81.7,58,18,119,110
Luis Díaz,Liverpool,Premier League,FW,27,2399,110,108,56,84.2,39,7,105,32
Nathan Collins,Brentford,Premier League,DF,23,3420,127,32,10,85.9,40,34,162,8
Omari Hutchinson,Ipswich Town,Premier League,"MF,FW",20,2583,75,97,31,78,32,11,110,81
Rodrigo Bentancur,Tottenham,Premier League,MF,27,1645,100,28,10,87.9,40,40,121,4
Toti Gomes,Wolves,Premier League,DF,25,2614,86,27,9,85.9,61,25,116,13
Tyler Dibling,Southampton,Premier League,"FW,MF",18,1874,64,69,20,81.3,34,8,80,28
Vitaliy Mykolenko,Everton,Premier League,DF,25,3082,110,33,24,74.6,63,44,88,101
Vitaly Janelt,Brentford,Premier League,MF,26,2254,80,17,14,82.5,38,27,107,30
Antoine Semenyo,Bournemouth,Premier League,FW,24,3203,109,140,46,73.4,55,11,158,59
Brennan Johnson,Tottenham,Premier League,FW,23,2177,71,60,19,70.4,39,4,63,53
Cody Gakpo,Liverpool,Premier League,FW,25,1935,52,59,38,75.7,28,12,77,74
Darwin Núñez,Liverpool,Premier League,FW,25,1133,27,23,11,70.9,21,4,41,3
Enzo Fernández,Chelsea,Premier League,MF,23,2947,212,60,77,79.9,65,13,156,109
Facundo Buonanotte,Leicester City,Premier League,"FW,MF",19,1523,54,39,24,76.4,53,12,79,43
