"Player","Squad","League","Age","progressive_passes_per90","progressive_carries_per90","key_passes_per90","tackles_per90","interceptions_per90","recoveries_per90","crosses_per90","pass_completion","progression_score","defending_score","xT_proxy","age_score","scouting_score","role_profile"
"Sead Kolašinac","Atalanta","Serie A",31,5.30000477714613,1.8907944394019,0.567286103281899,1.87861271676301,1.02505613146706,6.31216261405436,0.422419146801701,85.9,2.25466134562935,9.21583146228443,3.93632064204844,0.25,3.80251397693707,"Elite Progressive CB"
"Sebastiaan Bornauw","Wolfsburg","Bundesliga",24,2.57861635220126,0.125786163522013,0.188679245283019,1.63522012578616,1.13207547169811,4.15094339622642,0.0628930817610063,87.5,0.768263347983897,6.91823899371069,1.59748427672956,0.75,2.62027703730677,"Possession Defender"
"Sebastian Walukiewicz","Torino","Serie A",24,3.15277051464029,0.983872172686404,0.174061883396248,1.88351489956363,0.816125190611583,3.27010375422422,0.67210852665486,81.9,1.22743151330195,5.96974384439943,2.28521117785873,0.75,2.51379575864061,"Balanced Defender"
"Sebastiano Luperto","Empoli","Serie A",27,2.65453121941672,0.477311280746395,0.256442878580283,1.15550988451752,0.881116656880016,3.80665655379396,0.269654857441117,82.7,0.943832406786295,5.84328309519149,1.78364324394859,0.5,2.31321789127197,"Balanced Defender"
"Sepp Van Den Berg","Mainz 05","Bundesliga",22,2.88052188239871,0.319771266801732,0.215362914133518,1.28097905458361,1.04700725476848,4.4776497230733,0.153511048055384,83.2,0.926738070020723,6.80563603242539,1.85622163615992,0.875,2.67058603773591,"Balanced Defender"
"Sergi","Leganés","La Liga",32,2.34359147784917,0.0913087588772405,0.152181264795401,1.21745011836321,1.18701386540413,2.43490023672641,0.0304362529590801,83.7,0.682426614022466,4.83936422049374,1.4426783902604,0.25,1.85847991175711,"Balanced Defender"
"Sergi Cardona","Villarreal","La Liga",25,3.73520585286036,1.75405533573944,1.31127348945305,2.52412205284516,1.34681310884337,5.00809438135541,3.11933601456699,78.8,2.08788387428167,8.87902954304394,2.942745646012,0.625,3.70266241262585,"Defensive Stopper"
"Sergio Akieme","Reims","Ligue 1",26,2.28612703426979,1.70634816405487,0.831270520169663,1.33179406179566,0.571867180151561,4.60381564235895,3.20791878893286,79.2,1.52446903116997,6.50747688430617,2.05421548618383,0.5,2.74123067775984,"Balanced Defender"
"Sergio Carreira","Celta Vigo","La Liga",23,2.8804347826087,2.1195652173913,0.869565217391304,1.52173913043478,0.923913043478261,3.58695652173913,2.22826086956522,76.1,1.8427768413463,6.03260869565217,2.57608695652174,0.75,2.77299334523417,"Balanced Defender"
"Sergio Gómez","Real Sociedad","La Liga",23,3.05697589481373,1.41344046749452,1.84075967859752,2.33382030679328,0.6245434623813,4.7991234477721,7.59313367421476,74.8,1.98838393908442,7.75748721694668,2.39956172388605,0.75,3.34739974071777,"Balanced Defender"
"Sergio Ramos","Sevilla","La Liga",37,2.89630512514899,0.393325387365912,0.143027413587604,1.60905840286055,1.46603098927294,5.11323003575685,0.0715137067938021,89,0.931004791025174,8.18831942789035,1.89511323003576,0.25,2.96789774477717,"Defensive Stopper"
"Sergio Reguilón","Brentford","Premier League",26,3.05903398926655,2.73703041144902,1.61001788908766,3.62254025044723,1.28801431127013,6.03756708407871,5.79606440071556,67.2,2.39563074507545,10.9481216457961,2.93023255813953,0.5,4.409888791769,"Elite Progressive CB"
"Silvan Widmer","Mainz 05","Bundesliga",30,3.91304347826087,2.2463768115942,1.15942028985507,1.66666666666667,1.15942028985507,4.42028985507246,2.53623188405797,72.4,2.25928042180264,7.2463768115942,3.2463768115942,0.25,3.20002521219932,"Ball Progressor"
"Simon Kjær","Milan","Serie A",34,3.99658411614005,0.307429547395389,0.307429547395389,1.84457728437233,1.07600341588386,4.53458582408198,0.0768573868488471,88.2,1.23826682424063,7.45516652433817,2.52092228864219,0.25,2.87005668699771,"Possession Defender"
"Simone Romagnoli","Frosinone","Serie A",33,1.55801104972376,0.0662983425414365,0.0994475138121547,1.16022099447514,0.961325966850829,3.2817679558011,0.0331491712707182,85.9,0.455114606763602,5.40331491712707,0.961325966850829,0.25,1.93894031784356,"Balanced Defender"
"Sinaly Diomande","Auxerre","Ligue 1",23,3.33161953727506,0.370179948586118,0.185089974293059,1.80462724935733,1.38817480719794,3.97943444730077,0.0462724935732648,84.6,1.04799065847901,7.17223650385604,2.14704370179949,0.75,2.80546721454842,"Balanced Defender"
"Sofyan Amrabat","Manchester Utd","Premier League",26,6.33262260127932,0.575692963752665,0.575692963752665,2.59061833688699,0.767590618336887,5.75692963752665,0.671641791044776,87,2.0282655266335,9.11513859275053,4.02985074626866,0.5,3.73284778847856,"Defensive Stopper"
"Sokratis Papastathopoulos","Betis","La Liga",35,1.02992957746479,0.0792253521126761,0.0792253521126761,1.6637323943662,0.475352112676056,4.04049295774648,0,88.3,0.319104412672927,6.17957746478873,0.649647887323944,0.25,2.11981500450579,"Possession Defender"
"Souleymane Touré","Lorient","Ligue 1",20,3.20331545587518,1.05314480741102,0.307167235494881,1.09702584105314,1.57971721111653,3.81764992686494,0.219405168210629,89.4,1.31591706136104,6.49439297903462,2.34324719648952,1,2.7640847182548,"Possession Defender"
"Soungoutou Magassa","Monaco","Ligue 1",19,6.15156017830609,0.468053491827637,0.133729569093611,3.7444279346211,1.40416047548291,7.4888558692422,0.200594353640416,87.3,1.77672365806756,12.6374442793462,3.87815750371471,1,4.78922274703089,"Defensive Stopper"
"Stanley N'Soki","Hoffenheim","Bundesliga",25,3.57798165137615,0.688073394495413,0.481651376146789,1.51376146788991,1.78899082568807,5.43577981651376,0.0688073394495413,85.8,1.33983567787311,8.73853211009174,2.42201834862385,0.5,3.34329390417677,"Defensive Stopper"
"Stefan Bajcetic","Las Palmas","La Liga",19,3.62229102167183,0.743034055727554,0.65015479876161,2.69349845201238,1.39318885448916,5.6656346749226,0.371517027863777,71.8,1.43468908532608,9.75232198142415,2.47058823529412,1,3.77137222855768,"Defensive Stopper"
"Stefan Bell","Mainz 05","Bundesliga",32,2.38161559888579,0.501392757660167,0.313370473537604,1.37883008356546,1.75487465181058,4.07381615598886,0,78.6,0.905294187925895,7.2075208913649,1.62952646239554,0.25,2.65297394257983,"Balanced Defender"
"Stefan De Vrij","Inter","Serie A",32,3.20151046453689,0.457029862981272,0.0828183745665652,0.98001195279086,1.28061076131095,4.13246921571865,0,92.8,1.00917465701222,6.39309192982046,2.10371822391464,0.25,2.46439744175103,"Possession Defender"
"Stefan Posch","Bologna","Serie A",26,4.59526774595268,1.64383561643836,0.821917808219178,2.87671232876712,0.672478206724782,4.07222914072229,1.45703611457036,82.2,2.08030121542551,7.6214196762142,3.41469489414695,0.5,3.30074638903446,"Balanced Defender"
"Stefan Savić","Atlético Madrid","La Liga",32,3.6441717791411,0.773006134969325,0.0552147239263804,1.49079754601227,1.49079754601227,4.25153374233129,0.165644171779141,82.9,1.22826808807156,7.23312883435583,2.49570552147239,0.25,2.79414588553537,"Balanced Defender"
"Stefano Sabelli","Genoa","Serie A",31,3.55449878592853,2.06547584039791,0.76410885473992,2.19452869661656,0.907150838927584,3.6975407701162,3.14604145486931,65.5,1.95314971577471,6.79922030566035,2.95888960771629,0.25,2.93652597800799,"Balanced Defender"
"Stephan El Shaarawy","Roma","Serie A",31,3.14743722764059,2.91233564111755,1.13259069214662,1.19946612839329,0.746429851534645,4.11623497896584,1.54671848176725,80.75,2.30422458569641,6.06213095889377,3.05339659303137,0.25,2.8710791219467,"Ball Progressor"
"Strahinja Pavlović","Milan","Serie A",23,4.53862660944206,1.931330472103,0.289699570815451,2.51072961373391,0.772532188841202,3.23497854077253,0.482832618025751,88.2,1.97355983840272,6.51824034334764,3.49570815450644,0.75,2.98309603836538,"Possession Defender"
"Sven Botman","Newcastle Utd","Premier League",23,2.28758169934641,0,0.326797385620915,1.30718954248366,0.588235294117647,4.57516339869281,0,90.6,0.699750242705529,6.47058823529412,1.37254901960784,0.75,2.46167656767045,"Possession Defender"
"Takehiro Tomiyasu","Arsenal","Premier League",24,5.63968668407311,1.33159268929504,0.469973890339426,1.56657963446475,1.40992167101828,4.22976501305483,1.09660574412533,82.4,2.09547898651764,7.20626631853786,3.91644908616188,0.75,3.23247149016841,"Balanced Defender"
"Tariq Lamptey","Brighton","Premier League",22,1.67396061269147,3.84026258205689,0.984682713347921,2.06783369803063,0.590809628008753,3.15098468271335,3.05251641137856,83.5,2.22278167901649,5.80962800875274,2.54048140043764,0.75,2.86550107423242,"Ball Progressor"
"Taylor Harwood-Bellis","Southampton","Premier League",22,3.98230088495575,0.923893805309735,0.446017699115044,0.892035398230088,0.955752212389381,3.91858407079646,0.31858407079646,87.4,1.51637186255714,5.76637168141593,2.75893805309734,0.75,2.57386024944763,"Possession Defender"
"Teden Mengi","Luton Town","Premier League",21,1.96840826245444,0.54678007290401,0.218712029161604,1.96840826245444,2.07776427703524,4.59295261239368,0.0729040097205346,77.6,0.782450893965112,8.63912515188335,1.39975698663426,1,3.18231790315105,"Defensive Stopper"
"Theo Hernández","Milan","Serie A",26,4.87972414511672,3.42259708771411,1.49391869478729,1.08458780714186,0.654588535425972,4.92638948102581,2.94912603248891,84.95,3.06697182806784,6.66556582359364,4.29687332215568,0.5,3.41140847830523,"Ball Progressor"
"Thiago Silva","Chelsea","Premier League",38,3.63276612584092,0.0712307083498219,0.320538187574199,1.03284527107242,0.925999208547685,4.98614958448753,0.142461416699644,94.7,1.06336154423135,6.94499406410764,2.20815195884448,0.25,2.65354283692483,"Possession Defender"
