"Player","Squad","League","Pos","Age","Min","PrgP","PrgC","KP","Cmp.","Tkl","Int","Recov","Crs","PrgP_90","PrgC_90","KP_90","Tkl_90","Int_90","Recov_90","Defensive_Intensity","Ball_Progression","Creative_Involvement","Passing_Security","Modern_CB_Score","Cluster","Cluster_Label"
"Abdel Abqar","Alavés","La Liga","DF",25,2463,79,16,8,76.6,36,39,87,5,2.88672350791717,0.584652862362972,0.292326431181486,1.31546894031669,1.42509135200974,3.17904993909866,1.8142509135201,2.19610231425091,0.292326431181486,76.6,9.21727771010962,"2","Balanced centre-backs"
"Aitor Paredes","Athletic Club","La Liga","DF",24,1812,46,4,2,83.3,15,22,62,1,2.28476821192053,0.198675496688742,0.0993377483443709,0.745033112582781,1.09271523178808,3.0794701986755,1.43294701986755,1.65894039735099,0.0993377483443709,83.3,9.5100082781457,"2","Balanced centre-backs"
"Carlos Dominguez","Celta Vigo","La Liga","DF",23,1181,66,15,2,88.5,23,13,45,0,5.02963590177815,1.14309906858594,0.152413209144793,1.75275190516511,0.990685859441152,3.42929720575783,1.9432684165961,3.86367485182049,0.152413209144793,88.5,11.0984758679086,"1","Progressive distributors"
"Juan Foyth","Villarreal","La Liga","DF",26,1517,65,13,7,87,25,19,61,4,3.85629531970995,0.771259063941991,0.41529334212261,1.48319050758075,1.12722478576137,3.61898483849703,1.91034937376401,2.93078444297956,0.41529334212261,87,10.6032300593276,"1","Progressive distributors"
"Cristhian Mosquera","Valencia","La Liga","DF",20,3319,123,35,0,90.5,56,35,190,2,3.33534197047303,0.949081048508587,0,1.51852967761374,0.949081048508587,5.15215426333233,2.25610123531184,2.6194636938837,0,90.5,10.8874209099126,"2","Balanced centre-backs"
"César Tárrega","Valencia","La Liga","DF",22,3026,79,20,3,84.4,49,22,104,1,2.34963648380701,0.594844679444812,0.0892267019167217,1.45736946463979,0.654329147389293,3.09319233311302,1.62541308658295,1.82319894249835,0.0892267019167217,84.4,9.75155816259088,"2","Balanced centre-backs"
"Kike Salas","Sevilla","La Liga","DF",22,2238,59,7,6,78.5,47,32,95,9,2.37265415549598,0.281501340482574,0.241286863270777,1.89008042895442,1.28686327077748,3.82037533512064,2.1916890080429,1.74530831099196,0.241286863270777,78.5,9.35140750670241,"2","Balanced centre-backs"
"Mario Gila","Lazio","Serie A","DF",23,2741,157,48,15,91.6,55,28,153,6,5.15505290040131,1.57606712878511,0.492520977745348,1.80591025173294,0.919372491791317,5.02371397300255,2.34439985406786,4.08135716891645,0.492520977745348,91.6,11.6869609631521,"1","Progressive distributors"
"Abdul Mumin","Rayo Vallecano","La Liga","DF",26,2017,40,12,1,82.9,37,23,93,6,1.78482895389192,0.535448686167576,0.044620723847298,1.65096678235002,1.02627664848785,4.14972731779871,2.08824987605354,1.41001487357462,0.044620723847298,82.9,9.59158651462568,"2","Balanced centre-backs"
"Copete","Mallorca","La Liga","DF",24,1528,47,10,0,83.3,29,17,46,7,2.76832460732984,0.589005235602094,0,1.70811518324607,1.00130890052356,2.70942408376963,1.74640052356021,2.11452879581152,0,83.3,9.78705170157068,"2","Balanced centre-backs"
"David Torres","Valladolid","La Liga","DF",21,1387,37,11,1,82.5,13,10,27,3,2.40086517664023,0.713770728190339,0.0648882480173035,0.843547224224946,0.648882480173035,1.7519826964672,1.01225666906994,1.89473684210526,0.0648882480173035,82.5,9.37191780821918,"2","Balanced centre-backs"
"Jorge Herrando","Osasuna","La Liga","DF",23,1366,38,7,0,85.4,17,12,36,2,2.50366032210835,0.461200585651537,0,1.12005856515373,0.790629575402635,2.37188872620791,1.33418740849195,1.8909224011713,0,85.4,9.7633345534407,"2","Balanced centre-backs"
"Loïc Bade","Sevilla","La Liga","DF",24,2686,62,11,4,85.7,47,29,138,8,2.07743857036485,0.368577810871184,0.134028294862249,1.57483246463142,0.971705137751303,4.62397617274758,2.15618019359643,1.56478034251675,0.134028294862249,85.7,9.97067944899479,"2","Balanced centre-backs"
"Santiago Bueno","Wolves","Premier League","DF",25,1687,28,1,0,88,41,15,43,0,1.49377593360996,0.0533491404860699,0,2.18731475992887,0.800237107291049,2.29401304090101,1.79786603438056,1.06164789567279,0,88,9.85391227030231,"2","Balanced centre-backs"
